"Received","Starts","Expires","Section","Title","Text","Image","notes"
04/28/26,05/01/26,05/30/26,"Recurring","""When Do I Stop?"" - A conceptual art exhibit ","This event is open to the community with a suggested donation of $9 – $18. If you are joining via Zoom, the link will be provided upon registration. For more information or to sign up, please contact Colette at 575-707-2725.","When-Do-I-Stop.png",
04/29/26,05/11/26,06/15/26,"Recurring","Aging Mastery ","Starts Monday, May 11 | 12:30 PM – 2:00 PM and continues through Monday, June 15th, every Monday and Wednesday for 6 weeks, expect Memorial Day Monday.
Looking to age well and stay independent? Join the Aging Mastery Program®, a 10-class series designed to empower older adults to make impactful changes that improve health, confidence, and overall well-being. Starting May 11th at the Cortez Senior Center, classes are held Mondays and Wednesdays from 12:30 to 2:00 PM—no class on Memorial Day. Each session features expert speakers covering topics like healthy eating, financial fitness, fall prevention, medication management, and more. Join a group of like-minded individuals, build lasting relationships, and take steps toward aging well. Space is limited to just 15 participants—sign up today by calling or emailing Lanea Donahoo at 970-564-4159 or  [lanea.Donahoo@colostate.edu](mailto:lanea.Donahoo@colostate.edu) 
Location Cortez Senior Center, 117 North Chestnut, Cortez, CO
","Aging-Mastery-Flyer-2026.jpg",
04/23/26,05/16/26,05/30/26,"Recurring","Team Up SW","Teen Hangout Night","Teen-Hangout-Night-Flyer-23.png",
05/22/26,05/22/26,05/30/26,"Multiple","LWV Initiative #195 Petition Signing — Sunflower Theater","Petitions are circulating to get a Graduated Income Tax (GIT) on the fall ballot. Shifting away from a flat tax system will raise an estimated $2B annually to help mitigate shortfalls for education and healthcare. You must be an active registered Colorado voter to sign. Verify or update [registration](GoVoteColorado.gov).

WHEN: Saturday, May 30, 2026 — 6:00 PM - 7:00 PM

WHERE: Sunflower Theater",,
05/22/26,05/22/26,06/26/26,"Recurring","League of Women Voters: Indivisible Veterans Park Rallies","Indivisible Montezuma County will continue to SHOW UP for recurring community rallies on scheduled Saturdays throughout May and June. Bring a sign, bring a flag, and support live regional advocacy!

Rally 1 WHEN: Saturday, May 30, 2026 — 10:00 AM - 12:00 PM

Rally 2 WHEN: Saturday, June 13, 2026 — 10:00 AM - 12:00 PM

Rally 3 WHEN: Saturday, June 27, 2026 — 10:00 AM - 12:00 PM

WHERE: Veterans Park","Rallies-May-June-2026.jpg",
04/30/26,05/23/26,05/30/26,"Single","Cortez Farmers Market","Cortez Farmers Market

BONUS!!

Four Corners Community Band will be playing on Opening Day of the Market. There’s no better place to be in the morning on  Saturday, May 30th!","Flier-Cortez-Farmers-Market-2026.jpg",
04/30/26,05/23/26,05/30/26,"Single","Renew Fundraiser featuring Farm to Table Dinner, Wine & Music","Join us for an elegant evening at the beautiful Sutcliffe Vineyards for a special farm-to-table fundraiser benefiting Renew Inc. On Saturday, May 30th from 4–8 p.m., guests will gather among rolling vines and golden light for a refined countryside experience in support of an essential cause.The evening will feature a thoughtfully curated farm dinner highlighting fresh, local ingredients, including seasonally inspired dishes. Guests will enjoy Sutcliffe’s acclaimed wines—consistently rated 90+ points by Wine Enthusiast—along with refreshing sangria, all served in the vineyard’s beautiful outdoor setting. Live music will set the tone as attendees mingle, savor the meal, and browse a curated silent fundraiser.
Proceeds from this event will directly support Renew Inc.’s vital work providing a Safehouse and critical resources to survivors of domestic violence and sexual assault at a time when federal funding and grants have been significantly reduced. Your participation helps ensure that Renew can continue offering safety, healing, and hope to those who need it most.

We invite you to an unforgettable evening of community, connection, and compassion—where good wine, good food, and a good cause come together.

Questions? Email Lilyrusso@gmail.com 
Get Tickets - https://onwardfdn.fcsuite.com/erp/donate/list/event?event_date_id=1627",,
05/22/26,05/23/26,05/31/26,"Multiple","LWV Initiative #195 Petition Signing — Mancos","Petitions are circulating to get a Graduated Income Tax (GIT) on the fall ballot. Currently Colorado has a flat tax which means that those making $20,000 in annual income are taxed at the same rate as those making over #500,000. If successful in getting this on the ballot and it passes, 97% of Coloradans will see a decrease or no change to their taxes. It is expected that $2B a year will be raised which will be earmarked for education (including teacher pay raises), childcare, and healthcare -- areas with current major shortfalls in our budget.

The Colorado Legislature will determine how these additional funds will be allocated specifically to the earmarked areas. You must be an active registered Colorado voter to sign, though you do not need to live in Montezuma County. Check and update voter registration instantly at GoVoteColorado.gov.

WHEN: Saturday, May 30, 2026 — 4:30 PM - 5:30 PM

WHEN: Sunday, May 31, 2026 — 4:30 PM - 5:30 PM

WHERE: Mancos Brewery",,
05/22/26,05/24/26,06/01/26,"Multiple","LWV Initiative #195 Petition Signing — Dolores Bike Hostel","Petitions are circulating to get a Graduated Income Tax (GIT) on the fall ballot. Registered Colorado voters can drop by to provide signatures to get this measure on the ballot for education funding and childcare revenue. Verify status via GoVoteColorado.gov.

WHEN: Monday, June 1, 2026 — 7:00 PM - 8:00 PM

WHERE: Dolores Bike Hostel",,
05/10/26,05/25/26,05/31/26,"Multiple","SCYC Mancos Summer Programs","Week 2 of the SCYC Mancos Summer Programs kicks off Monday, June 1st and runs through Thursday, June 4th from 12:00 PM to 4:00 PM. Programs include Angela's Elementary Adventures (Grades K-2nd), Coding (Grades 2nd-7th), and Theatre Arts (Grades 2nd-12th). Scan the QR code on the flyer to register.","2026-KIDS-summer-camp.png",
